ProductModelID	ProductDescriptionID	Culture	rowguid	ModifiedDate
9	1020	en    	1C3AB8C4-2D29-4941-9CD8-6446BE228705	2003-06-01 00:00:00.000
9	1449	ar    	B58B699E-1BBB-4EE7-B5B4-D6CEF4DB2092	2003-06-01 00:00:00.000
9	1571	fr    	A837B826-7BAC-474F-B604-B13C97F3B9C4	2003-06-01 00:00:00.000
9	1694	th    	0E2C3E17-E30E-438D-854C-F14599A84A76	2003-06-01 00:00:00.000
9	1825	he    	29EF524B-D5F5-4C42-996A-4EB28490BD86	2003-06-01 00:00:00.000
9	1946	zh-cht	3335CAF2-7921-40CD-B444-86277FDF6800	2003-06-01 00:00:00.000
10	1146	en    	EBCCF666-7CF0-4F09-87F9-876F5FF94408	2003-06-01 00:00:00.000
10	1452	ar    	D89D1067-85E8-4A11-8690-67BB58693846	2003-06-01 00:00:00.000
10	1574	fr    	2B9E237E-D00E-45C5-B59C-B671BEB13FDE	2003-06-01 00:00:00.000
10	1697	th    	291B2371-556B-404B-9286-213E6A32200F	2003-06-01 00:00:00.000
10	1828	he    	8D4BC0D1-8F8C-4765-B081-26D237AAB804	2003-06-01 00:00:00.000
10	1949	zh-cht	E68AE649-9A6C-4B26-B20F-A8A1BFDC73A4	2003-06-01 00:00:00.000
11	1211	en    	468F0CF3-4E59-4065-BB65-236D68CBC715	2003-06-01 00:00:00.000
11	1477	ar    	D4A510BA-9EDD-4BBC-AC21-FC7CF6BDD538	2003-06-01 00:00:00.000
11	1599	fr    	ADADDEE3-9E75-4726-BCCC-0DC2E2ECD099	2003-06-01 00:00:00.000
11	1722	th    	FB81BC4C-C7FC-4B04-AF2A-1060D4DD822D	2003-06-01 00:00:00.000
11	1848	he    	3A7EF360-C784-4B24-8A53-DF420025E3F9	2003-06-01 00:00:00.000
11	1975	zh-cht	5D11C2F6-468D-4015-9FAB-D27A0A40F6CD	2003-06-01 00:00:00.000
12	1192	en    	964D1A58-97CC-433B-902C-31F930EBEB61	2003-06-01 00:00:00.000
12	1461	ar    	2F026854-03D7-4BA8-9B27-792426C8184D	2003-06-01 00:00:00.000
12	1583	fr    	226CE0CA-0A16-46D2-B8CC-A9EB550FDF1C	2003-06-01 00:00:00.000
12	1706	th    	5FCF124A-867C-49D8-872F-52042DE39B47	2003-06-01 00:00:00.000
12	1832	he    	50EB6100-6FDF-487D-B5FB-4C1AAEA8139B	2003-06-01 00:00:00.000
12	1958	zh-cht	ECD16403-2B3D-4FCB-A6A8-9C8A16928FE2	2003-06-01 00:00:00.000
13	1200	en    	3FCA21B5-8C62-4099-A70A-1F4C59500BA3	2003-06-01 00:00:00.000
13	1468	ar    	A205E7A7-4C57-439C-82FC-7C7EF10550F7	2003-06-01 00:00:00.000
13	1590	fr    	9EFCDB42-BC1B-415D-90F3-49C4E695F180	2003-06-01 00:00:00.000
13	1713	th    	7A8CCCFF-162F-48A7-B029-4877FC3C578B	2003-06-01 00:00:00.000
13	1839	he    	762A04CA-755F-434C-84CE-06BCACE33DDC	2003-06-01 00:00:00.000
13	1966	zh-cht	12C2ECA9-4387-4E8E-8FB7-66FB078422D8	2003-06-01 00:00:00.000
14	644	en    	928E245D-B833-4355-89C9-94C81B184235	2003-06-01 00:00:00.000
14	1399	ar    	A259DE8C-E569-4571-89B7-E12917EB6C2E	2003-06-01 00:00:00.000
14	1516	fr    	0D08C785-F8FA-4C0D-9062-186464214CF9	2003-06-01 00:00:00.000
14	1638	th    	644A517A-1A6E-454F-B02A-896A370E59A1	2003-06-01 00:00:00.000
14	1761	he    	E5701ABD-3173-4F3F-8808-4EF8213A78AC	2003-06-01 00:00:00.000
14	1888	zh-cht	9632DC45-8FCF-42CE-845E-FC0A5ED88ED0	2003-06-01 00:00:00.000
15	642	en    	814C5280-6C7C-4B6F-8FB7-AF8453ADAB80	2003-06-01 00:00:00.000
15	1398	ar    	A171C1A8-918F-4FA1-A10D-EA6E7B3BDDEF	2003-06-01 00:00:00.000
15	1515	fr    	A330168F-5554-405A-A99D-104E2C08A4C9	2003-06-01 00:00:00.000
15	1637	th    	7EFAF7B6-D236-423F-99B4-8F7B88F27AD6	2003-06-01 00:00:00.000
15	1760	he    	33AF6822-C398-44EC-A656-F2F02E12CEBB	2003-06-01 00:00:00.000
15	1887	zh-cht	56829979-C2AF-481A-8A68-4A52E64F8FE7	2003-06-01 00:00:00.000
16	1062	en    	F6FCA909-60F2-4523-B6C4-5387D4CABCE5	2003-06-01 00:00:00.000
16	1450	ar    	40626123-6A27-45E8-915D-2E70714375A1	2003-06-01 00:00:00.000
16	1572	fr    	DC706A94-BD5E-4696-8451-2E6B007CECD3	2003-06-01 00:00:00.000
16	1695	th    	52EF584F-05B3-401A-9A5E-38465970AD02	2003-06-01 00:00:00.000
16	1826	he    	9D5A7688-5F22-434A-83BA-607CBADE9819	2003-06-01 00:00:00.000
16	1947	zh-cht	CB671DFC-B984-40EF-89FA-0DF3607E8A26	2003-06-01 00:00:00.000
17	661	en    	4EF772B7-272A-4FE0-8C9E-9C575253080C	2003-06-01 00:00:00.000
17	1401	ar    	E3BBC729-3EAF-4983-B3A6-1EA8553D111F	2003-06-01 00:00:00.000
17	1517	fr    	AFEF89D6-48C1-497F-978B-CA0570CCD7F8	2003-06-01 00:00:00.000
17	1640	th    	EFF47D5D-3379-4141-845D-21211E3DC89E	2003-06-01 00:00:00.000
17	1770	he    	F6184D86-32BF-413A-8A4B-0E3753A605EA	2003-06-01 00:00:00.000
17	1890	zh-cht	41A6106B-97B6-426E-9CDA-9DA114C9BF98	2003-06-01 00:00:00.000
18	1189	en    	341D38EE-65C4-4EA8-9827-C72908E80730	2003-06-01 00:00:00.000
18	1459	ar    	72667CCE-15B4-4EA0-A3B4-1D2749F787C4	2003-06-01 00:00:00.000
18	1581	fr    	EE3273D6-6402-434E-A062-F06DF18124EF	2003-06-01 00:00:00.000
18	1704	th    	EF95A0C6-F85F-48D4-BE93-EABD85E3C626	2003-06-01 00:00:00.000
18	1830	he    	B298AE58-5FED-44BE-A43B-B6B48EF6325E	2003-06-01 00:00:00.000
18	1956	zh-cht	2CB1E080-75A9-42A0-8D8C-4794385BFEF5	2003-06-01 00:00:00.000
19	168	en    	B36812AF-8657-4279-A4D2-B9E4EE581AD9	2003-06-01 00:00:00.000
19	1367	ar    	739E3590-6423-4F6B-9538-FC0ECA4F8205	2003-06-01 00:00:00.000
19	1491	fr    	2D17E60B-4A19-447F-B72A-3017F8708F55	2003-06-01 00:00:00.000
19	1613	th    	A440BE42-FD30-4C17-92EA-CB10722FCCA8	2003-06-01 00:00:00.000
19	1735	he    	9A1EF5DC-29E2-4E76-91DB-88052387D91C	2003-06-01 00:00:00.000
19	1862	zh-cht	F1762C5B-79CC-4F18-8DE2-DBB0A882D7E2	2003-06-01 00:00:00.000
20	128	en    	33624F7B-83F0-4868-AFC7-7E1B54E5AF30	2003-06-01 00:00:00.000
20	1366	ar    	088043A0-07B6-4A49-8C25-207498AD0F8D	2003-06-01 00:00:00.000
20	1490	fr    	4C2B0744-21F7-4682-890C-D3622E593836	2003-06-01 00:00:00.000
20	1612	th    	0C72BBAF-7ABD-4F88-AE50-44CCCE2D2CB6	2003-06-01 00:00:00.000
20	1734	he    	0B8C74FE-3745-4087-A4F5-15B9D58F9A9B	2003-06-01 00:00:00.000
20	1861	zh-cht	652526D4-8955-4A33-A5D0-B566DC1F1434	2003-06-01 00:00:00.000
21	88	en    	395BF93F-26C7-406C-9CF9-DC5E587150BC	2003-06-01 00:00:00.000
21	1365	ar    	194EF3F7-6FB9-4D20-85F4-DD20F303F972	2003-06-01 00:00:00.000
21	1489	fr    	621CF0B3-5931-4712-B3A5-1813A2C921E8	2003-06-01 00:00:00.000
21	1611	th    	04E24B6C-0179-43E0-88F9-AF7B6EF1F10E	2003-06-01 00:00:00.000
21	1733	he    	2E4366E4-A45E-4581-9AB2-9EC4743C3993	2003-06-01 00:00:00.000
21	1860	zh-cht	EF7295B0-703B-4C1B-B0F3-9FD333C4F07C	2003-06-01 00:00:00.000
22	64	en    	CCCE5048-14A2-4BDF-BEEF-DF0EC36CC54F	2003-06-01 00:00:00.000
22	1364	ar    	E02DDED6-E649-45A7-8ED6-F27EA8159056	2003-06-01 00:00:00.000
22	1488	fr    	0F011EC4-A98A-4212-8E68-BA6FD64F7841	2003-06-01 00:00:00.000
22	1610	th    	9A6EC27E-C1B3-4EC3-8C2C-B4ABA683B094	2003-06-01 00:00:00.000
22	1732	he    	322274C9-DE52-4B57-88EE-69C4CE56C191	2003-06-01 00:00:00.000
22	1859	zh-cht	E6EAF03F-332C-482B-8956-18B14E688129	2003-06-01 00:00:00.000
23	8	en    	29D90BD9-505F-45BF-ABE7-ACAF1DCD1A88	2003-06-01 00:00:00.000
23	1363	ar    	95BF22BA-3057-4AEE-AB49-67444137604B	2003-06-01 00:00:00.000
23	1487	fr    	1408D81D-790F-4618-9746-E49CDB9E1956	2003-06-01 00:00:00.000
23	1609	th    	A1BBFE36-1F90-4163-A9D7-8C710F8F8028	2003-06-01 00:00:00.000
23	1731	he    	4C3227B9-0068-45E3-9DE5-826574B49442	2003-06-01 00:00:00.000
23	1858	zh-cht	E23EDB81-BB94-48D1-B9E7-C50954902B68	2003-06-01 00:00:00.000
24	1208	en    	9C18D41D-A5BE-4246-B509-3D657313D271	2003-06-01 00:00:00.000
24	1474	ar    	E332C0EC-6A3C-4DB2-A0AB-F091F1E2AF34	2003-06-01 00:00:00.000
24	1596	fr    	074A12DB-C1B9-40E1-878C-047CD26D55F4	2003-06-01 00:00:00.000
24	1719	th    	49DBCD08-5812-496A-B88E-8D9D1B6C2BED	2003-06-01 00:00:00.000
24	1845	he    	463BF11D-B879-4293-9D9A-33081C74ACFC	2003-06-01 00:00:00.000
24	1972	zh-cht	3F4C354B-1A23-4467-A2CA-383B47DF1A36	2003-06-01 00:00:00.000
25	457	en    	ACB793A0-8836-4367-ADF9-C4E75A80D05E	2003-06-01 00:00:00.000
25	1377	ar    	EABA34DC-388D-4099-B957-1EC9C7755613	2003-06-01 00:00:00.000
25	1501	fr    	23300FE4-FF3D-4C39-B38C-B9CA4753B170	2003-06-01 00:00:00.000
25	1623	th    	5AB77D7C-0B85-4C43-9974-738E2D662C47	2003-06-01 00:00:00.000
25	1745	he    	0893AB17-AEB6-4B82-A240-1B2CF5A9E89C	2003-06-01 00:00:00.000
25	1872	zh-cht	A5212AC5-4727-400E-8FB0-0C2D3B032583	2003-06-01 00:00:00.000
26	409	en    	509AED2C-9099-4B4F-8204-6005B2B8C4B7	2003-06-01 00:00:00.000
26	1376	ar    	A2BDDCD1-67E8-458B-975E-F56FDD03F96F	2003-06-01 00:00:00.000
26	1500	fr    	8CB88C1B-D359-40DF-A043-4422371D5623	2003-06-01 00:00:00.000
26	1622	th    	CD26DD51-7661-479B-B108-E878E12139CF	2003-06-01 00:00:00.000
26	1744	he    	2743A02B-7A06-4234-A489-BA386EB66547	2003-06-01 00:00:00.000
26	1871	zh-cht	584888A4-6B2C-43CD-B803-1450488C2C1C	2003-06-01 00:00:00.000
27	376	en    	31F37330-FE96-4FE9-B636-8B15AAB9E0F6	2003-06-01 00:00:00.000
27	1375	ar    	E9115433-5788-434D-BD1C-34336A4DB6AA	2003-06-01 00:00:00.000
27	1499	fr    	1A7CFB35-5583-4BAE-9511-1B45F9038BD5	2003-06-01 00:00:00.000
27	1621	th    	6227CF43-32CA-4286-ACCC-3FCE55D585F2	2003-06-01 00:00:00.000
27	1743	he    	FABD8ACA-B69C-47FE-84DC-85406167ABBB	2003-06-01 00:00:00.000
27	1870	zh-cht	D4974A1D-BAC2-48F9-A28D-520B33D02965	2003-06-01 00:00:00.000
28	337	en    	B2CAA103-917B-4E9E-9C62-1AEC313DD28E	2003-06-01 00:00:00.000
28	1373	ar    	53A328AC-661D-454E-BD67-ABB63CC8111F	2003-06-01 00:00:00.000
28	1497	fr    	83A7F5A7-3525-4960-BD52-4A89B26C319B	2003-06-01 00:00:00.000
28	1619	th    	822256E1-3A67-4486-AB5F-278D70BD416A	2003-06-01 00:00:00.000
28	1741	he    	72207CD1-574C-4287-BA78-8F454215979D	2003-06-01 00:00:00.000
28	1868	zh-cht	9A5DC6FE-4EA8-4F44-B483-CE724721DB15	2003-06-01 00:00:00.000
29	320	en    	8BD6FD88-7F22-4B08-B72E-2817D5C3B761	2003-06-01 00:00:00.000
29	1371	ar    	AB29A223-5418-4F11-A8D2-63504BBEA61A	2003-06-01 00:00:00.000
29	1495	fr    	15F56E0E-7029-4786-9254-FBA5337D7CE5	2003-06-01 00:00:00.000
29	1617	th    	E69F11F4-ECDB-4955-99A8-E0AFB4112D63	2003-06-01 00:00:00.000
29	1739	he    	663D379C-1675-4B89-AFEE-B9A61FCAB9DD	2003-06-01 00:00:00.000
29	1866	zh-cht	673CA813-927E-408C-91A5-1AD1EB143B83	2003-06-01 00:00:00.000
30	249	en    	2AC1692A-F484-4FD5-86A1-758DF15A4EF4	2003-06-01 00:00:00.000
30	1370	ar    	50F0E035-4C56-465E-92EF-1A1562191C89	2003-06-01 00:00:00.000
30	1494	fr    	0C6D6CD9-69F5-495F-8BAE-01CA0847BBEA	2003-06-01 00:00:00.000
30	1616	th    	346F37D9-8D12-4A65-ADB3-ABC136CDE16F	2003-06-01 00:00:00.000
30	1738	he    	237F3908-24E7-4AA6-932B-8344D6D4163C	2003-06-01 00:00:00.000
30	1865	zh-cht	7CC7861C-0FFC-4172-A073-F187B4C10450	2003-06-01 00:00:00.000
31	209	en    	D2C56B24-6619-4393-A20E-BC43CD882CBD	2003-06-01 00:00:00.000
31	1369	ar    	587E051B-11D1-4353-BCF4-26E03A76870B	2003-06-01 00:00:00.000
31	1493	fr    	8DD20D38-1DFA-4ADF-BE73-C8E568470CC8	2003-06-01 00:00:00.000
31	1615	th    	0E667ABC-4049-43B6-BB14-7AF9DA332404	2003-06-01 00:00:00.000
31	1737	he    	38067754-AD2A-4CFF-AE23-B208B57BA54D	2003-06-01 00:00:00.000
31	1864	zh-cht	5EB76CD6-C2A5-49D8-BD56-D653E1A5743E	2003-06-01 00:00:00.000
32	1205	en    	0F02612E-9D04-443E-921B-AAB47F2C36A0	2003-06-01 00:00:00.000
32	1472	ar    	FDDC2C50-B59B-4AA2-8851-864C2C8E501E	2003-06-01 00:00:00.000
32	1594	fr    	4BEBDFD6-BE4A-4B95-8727-29F3BABECF17	2003-06-01 00:00:00.000
32	1717	th    	787FA731-203B-48C5-96DB-6D771C39A445	2003-06-01 00:00:00.000
32	1843	he    	E7138138-3943-4E63-B6FC-0C8B818048B4	2003-06-01 00:00:00.000
32	1970	zh-cht	D83D382F-FF89-4633-AE07-062C99DE9B91	2003-06-01 00:00:00.000
33	1212	en    	728B8C97-AE23-4BFE-87A3-6C4C27F0C517	2003-06-01 00:00:00.000
33	1478	ar    	D6C7EA75-DFF3-4256-9D1D-34EA38AEFC98	2003-06-01 00:00:00.000
33	1600	fr    	5EABD13B-7E81-4FDB-944B-32E1B62E6E68	2003-06-01 00:00:00.000
33	1723	th    	DED6A352-F203-4796-8F45-D445B25D62CD	2003-06-01 00:00:00.000
33	1850	he    	4E460B0F-EFA5-4885-AA95-A849DCC3130B	2003-06-01 00:00:00.000
33	1976	zh-cht	82934F49-C776-4D16-B6A3-0C0737D15B56	2003-06-01 00:00:00.000
34	594	en    	269D641F-45EF-4129-A470-92D125EF6FB5	2003-06-01 00:00:00.000
34	1387	ar    	DC8D81E3-3E63-4CBB-B535-8CFD421FAF35	2003-06-01 00:00:00.000
34	1504	fr    	475FB2C3-8DF1-4C7C-B6AD-387E0D531219	2003-06-01 00:00:00.000
34	1626	th    	FA84039E-31C5-4474-9C11-571B6B0804C3	2003-06-01 00:00:00.000
34	1749	he    	6A8BA0D6-5A30-428A-AE07-4FC99BF0F973	2003-06-01 00:00:00.000
34	1875	zh-cht	C1B7E120-F2E7-4F8E-908F-4BC3D44EA7C9	2003-06-01 00:00:00.000
35	554	en    	91D91980-4A80-476F-A7E2-C3A6DE6FCD74	2003-06-01 00:00:00.000
35	1379	ar    	A2024AFC-6886-4796-B4DB-3C5E68B3DE8C	2003-06-01 00:00:00.000
35	1503	fr    	C8E5DBDD-9A6B-4961-AB07-D02DD89E3784	2003-06-01 00:00:00.000
35	1625	th    	DF87D0A2-69A9-4990-AD9E-766A33110895	2003-06-01 00:00:00.000
35	1748	he    	7EF0347E-6861-4809-8A00-1D5959D9A106	2003-06-01 00:00:00.000
35	1874	zh-cht	CB8FAAF2-B372-4B0A-ACEF-832A4F92FCDA	2003-06-01 00:00:00.000
36	513	en    	F2A6F1A3-ACE4-457D-8567-C2590BEA0BE3	2003-06-01 00:00:00.000
36	1378	ar    	D85EDDC6-0AF0-4B4D-839C-0C7850A52832	2003-06-01 00:00:00.000
36	1502	fr    	1EB2A3DB-652F-48AE-9B18-5761C8412FE8	2003-06-01 00:00:00.000
36	1624	th    	C00F5BDB-492A-440D-9A88-A7EDE2C8C5B6	2003-06-01 00:00:00.000
36	1747	he    	F890A665-8730-4873-A558-CF62DC2C851C	2003-06-01 00:00:00.000
36	1873	zh-cht	CDF416E0-F84E-42DB-B770-4C4FCC48E965	2003-06-01 00:00:00.000
37	1196	en    	051D4446-B441-481F-A624-F01670B44AA3	2003-06-01 00:00:00.000
37	1465	ar    	6A0425B3-ECF6-43C9-B0B1-6135C4FF050B	2003-06-01 00:00:00.000
37	1587	fr    	1103606C-F222-4F25-B8C2-9496E9775347	2003-06-01 00:00:00.000
37	1710	th    	C34CDF89-7505-450D-8123-F6A90B7577DB	2003-06-01 00:00:00.000
37	1836	he    	153A6E33-88DE-495B-A914-FBBC3869098E	2003-06-01 00:00:00.000
37	1963	zh-cht	E047CA9D-548A-4A4C-A7A3-B5D4E03FF12A	2003-06-01 00:00:00.000
38	1214	en    	4CB7C0E3-E13B-4BDE-BDDE-BC11599CCEFE	2003-06-01 00:00:00.000
38	1480	ar    	1B25D0D7-581E-4FB4-A8F4-749BB78AA562	2003-06-01 00:00:00.000
38	1602	fr    	C06B8076-EA16-44EF-82C5-55B01914BA41	2003-06-01 00:00:00.000
38	1725	th    	095ACC20-B25C-4FF5-A96D-3AE7A237C84B	2003-06-01 00:00:00.000
38	1852	he    	1EDE86F0-0291-4869-9C27-7D625679058A	2003-06-01 00:00:00.000
38	1978	zh-cht	A8611275-008D-4896-AF81-86A47154988F	2003-06-01 00:00:00.000
39	170	en    	9D6EA3F6-1D17-4C02-9129-947A9E72446F	2003-06-01 00:00:00.000
39	1368	ar    	88C2A08E-6949-4CA5-8784-3F81A6089D25	2003-06-01 00:00:00.000
39	1492	fr    	DC746D13-B194-4C88-8C26-8B19F6F619B5	2003-06-01 00:00:00.000
39	1614	th    	CAFD3D39-8168-4455-9BB0-8259F32A6B4A	2003-06-01 00:00:00.000
39	1736	he    	D1D0D082-164F-4068-B072-453223C96F3B	2003-06-01 00:00:00.000
39	1863	zh-cht	DA89F886-1F5A-4C14-B115-CBD0646F2317	2003-06-01 00:00:00.000
40	321	en    	82AFD5BD-D1C5-465E-8561-9A74DF3D32CE	2003-06-01 00:00:00.000
40	1372	ar    	F6939648-142A-47FA-A3F7-71BDA8EA487A	2003-06-01 00:00:00.000
40	1496	fr    	3A88F16A-6DAC-4E6C-A92F-40EF52F73991	2003-06-01 00:00:00.000
40	1618	th    	E5D94D7D-4A07-41EB-8E9F-F161C9485F35	2003-06-01 00:00:00.000
40	1740	he    	F74053CE-D71F-4629-AA25-137AFCC239C2	2003-06-01 00:00:00.000
40	1867	zh-cht	BC3A519D-60C2-4288-B66B-31A67B87C535	2003-06-01 00:00:00.000
41	375	en    	7493FF05-FFD2-4891-A153-F796B4EDB04F	2003-06-01 00:00:00.000
41	1374	ar    	1AADE2AB-B4D9-4A43-AE41-72A804C503D5	2003-06-01 00:00:00.000
41	1498	fr    	3BAA3DD3-0AC9-4E22-BA2C-9FB700ABCA85	2003-06-01 00:00:00.000
41	1620	th    	489CFA50-1D8F-4685-84FA-23A2129C0C6F	2003-06-01 00:00:00.000
41	1742	he    	3EF5645F-3FEC-4F79-884F-40A49AFBB42B	2003-06-01 00:00:00.000
41	1869	zh-cht	03545FBD-B093-4ECD-8C90-88DFC9AB3EB7	2003-06-01 00:00:00.000
42	686	en    	8AA4E17D-A07F-4348-8BF0-3B7778818947	2003-06-01 00:00:00.000
42	1402	ar    	21C80112-A244-4E27-B907-69B96A29C4C4	2003-06-01 00:00:00.000
42	1518	fr    	1A8427DA-3246-4D3C-92B5-C3363C58C573	2003-06-01 00:00:00.000
42	1641	th    	2ED5F640-A9BD-48C3-8012-DDC9A1F0ECDC	2003-06-01 00:00:00.000
42	1771	he    	53064CF4-DE2F-4CCC-8D71-9EDC7FDEAE13	2003-06-01 00:00:00.000
42	1891	zh-cht	6EAF1EC4-BFA7-4193-BCE5-BBE9CC748423	2003-06-01 00:00:00.000
43	873	en    	AE3C0DF6-A949-4DA9-88D9-8F56C004D962	2003-06-01 00:00:00.000
43	1385	ar    	1C9822FA-D7E5-4FBF-A1FB-D7CC8E1DC5A6	2003-06-01 00:00:00.000
43	1551	fr    	BDD2953E-EF11-4630-B5A6-FD26540EFE1C	2003-06-01 00:00:00.000
43	1674	th    	3B431A4F-24C4-4171-A991-850D7CCF61D7	2003-06-01 00:00:00.000
43	1805	he    	631A1F6D-D371-462B-B354-B3C4060C2955	2003-06-01 00:00:00.000
43	1926	zh-cht	9E1373A1-BA99-472D-A05F-00E0187EC19E	2003-06-01 00:00:00.000
44	692	en    	90554B5F-6DB7-4EA9-8AD2-6C3594C06607	2003-06-01 00:00:00.000
44	1408	ar    	9093540F-2EB8-4867-A445-D74022C36C6A	2003-06-01 00:00:00.000
44	1524	fr    	ADF525C7-F350-4BD7-834D-A00F017DDA2B	2003-06-01 00:00:00.000
44	1647	th    	2AC54B6F-10CB-495D-A658-C8F3DC856EEA	2003-06-01 00:00:00.000
44	1777	he    	255FCEFA-E98D-4D07-8332-6CD38A6EE69F	2003-06-01 00:00:00.000
44	1897	zh-cht	CDADCF83-9E01-4FD7-82E5-B041445FD728	2003-06-01 00:00:00.000
45	687	en    	95C12B2C-72B2-4D49-B38D-5036FD5FA00F	2003-06-01 00:00:00.000
45	1403	ar    	FB971C51-9D0B-4675-9CE3-B9F7E651050B	2003-06-01 00:00:00.000
45	1519	fr    	6FECC7E8-3A7A-4740-8A7B-4079B1279495	2003-06-01 00:00:00.000
45	1642	th    	EEF171B6-5523-43A3-9211-F5519D6BF33B	2003-06-01 00:00:00.000
45	1772	he    	3770BC0E-38B4-4403-A28A-06BA68972A84	2003-06-01 00:00:00.000
