ProductModelID	Name	CatalogDescription	rowguid	ModifiedDate
69	ML Road Pedal	NULL	3CDF61D6-6209-436F-B235-82E8F159208B	2003-06-01 00:00:00.000
70	HL Road Pedal	NULL	35677B42-72CA-4D9E-A966-DD874B83EF45	2003-06-01 00:00:00.000
71	LL Mountain Seat/Saddle 1	NULL	A166AF4C-87BB-41AA-8496-D76B26008FB3	2003-06-01 00:00:00.000
72	ML Mountain Seat/Saddle 1	NULL	BAA9405B-68CA-4C18-BC9C-1C4ACF49BAFC	2003-06-01 00:00:00.000
73	HL Mountain Seat/Saddle 1	NULL	BBE4918F-198D-43C7-9F4B-79BC2AA08F2B	2003-06-01 00:00:00.000
74	LL Road Seat/Saddle 2	NULL	24E3E7D4-4053-4035-9D69-F451642F0C1E	2003-06-01 00:00:00.000
75	ML Road Seat/Saddle 1	NULL	394ED69C-2CC4-4A85-9080-8534112B66FE	2003-06-01 00:00:00.000
76	HL Road Seat/Saddle 1	NULL	B83AB7AE-BA3F-40DF-8296-361915A3A60C	2003-06-01 00:00:00.000
77	ML Road Rear Wheel	NULL	15702F98-BD92-4FE8-86BC-52F5FD049D3D	2002-06-01 00:00:00.000
78	HL Road Rear Wheel	NULL	438CBCFA-05FF-4A29-AD95-ECF41DCB83D5	2002-06-01 00:00:00.000
79	LL Mountain Seat/Saddle 2	NULL	8BBEB399-5A87-4E40-9F52-462FB54F2183	2003-06-01 00:00:00.000
80	ML Mountain Seat/Saddle 2	NULL	5CEFBB6E-3B7E-414F-AC1B-8F6DF741FB21	2003-06-01 00:00:00.000
81	HL Mountain Seat/Saddle 2	NULL	98726F80-E9B9-4141-9CF5-BD2EF07DCE25	2003-06-01 00:00:00.000
82	LL Road Seat/Saddle 1	NULL	00CE9171-8944-4D49-BA37-485C1D122F5C	2003-06-01 00:00:00.000
83	ML Road Seat/Saddle 2	NULL	FEEB8440-446E-4DF8-9482-D529C4FC5E8F	2003-06-01 00:00:00.000
84	HL Road Seat/Saddle 2	NULL	0D3A6AD7-6891-4DE9-B14F-E1A841EB220C	2003-06-01 00:00:00.000
85	LL Mountain Tire	NULL	E3CDC5DD-27C3-4891-9D5E-0D46D1B8457F	2003-06-01 00:00:00.000
86	ML Mountain Tire	NULL	0434F63A-A361-4D0B-A9FC-8AC2A866CE85	2003-06-01 00:00:00.000
87	HL Mountain Tire	NULL	CE1B1064-6679-4212-8F56-2B2617EC56A5	2003-06-01 00:00:00.000
88	LL Road Tire	NULL	E7B00DFF-8136-4947-B503-994584CC89E7	2003-06-01 00:00:00.000
89	ML Road Tire	NULL	D566EB0F-6945-43D8-BC40-BB3D2F4EF7ED	2003-06-01 00:00:00.000
90	HL Road Tire	NULL	A4B205DF-955A-494E-8428-1898AEA76F24	2003-06-01 00:00:00.000
91	Touring Tire	NULL	3BCC63D6-9340-4B93-B5F2-73FA90758BF5	2003-06-01 00:00:00.000
92	Mountain Tire Tube	NULL	8CFBE7F2-EEC3-4BA6-8187-C8A3614F1F0B	2003-06-01 00:00:00.000
93	Road Tire Tube	NULL	2771D2D2-2E35-4C12-966E-CE9070DF6D53	2003-06-01 00:00:00.000
94	Touring Tire Tube	NULL	DEEEA9BC-3C8C-4E73-B6B0-64C81A5D99E3	2003-06-01 00:00:00.000
95	LL Bottom Bracket	NULL	217E7475-D3F4-46FA-836A-D9E53103E71B	2003-06-01 00:00:00.000
96	ML Bottom Bracket	NULL	09CAA74E-F47B-4FCA-B206-9D3E46DF9751	2003-06-01 00:00:00.000
97	HL Bottom Bracket	NULL	816360E1-3DEE-4568-BF2F-9828243D887B	2003-06-01 00:00:00.000
98	Chain	NULL	ACA920B2-D0F9-49F3-B879-573202B08C2F	2003-06-01 00:00:00.000
99	LL Crankset	NULL	5B59F032-9B73-4D90-B252-EAFD6A871FF1	2003-06-01 00:00:00.000
100	ML Crankset	NULL	68C6CB29-D94A-40C5-AAAD-90AA6E7C5EA1	2003-06-01 00:00:00.000
101	HL Crankset	NULL	809668A3-D492-41FB-A196-CFE092A12AA2	2003-06-01 00:00:00.000
102	Front Brakes	NULL	1099A23A-C9ED-41B1-8CC1-E2C1C54A10C8	2003-06-01 00:00:00.000
103	Front Derailleur	NULL	10E0C8FD-CA13-437B-8E22-51853AE160A7	2003-06-01 00:00:00.000
104	LL Fork	NULL	0481D7E1-4970-4EFA-A560-020F6579918D	2002-06-01 00:00:00.000
105	ML Fork	NULL	5F115AA4-0553-4478-84B3-5DCF3ABE0D08	2002-06-01 00:00:00.000
106	HL Fork	NULL	7706A8FD-9513-40BC-95E8-301B55B67DB2	2002-06-01 00:00:00.000
107	Hydration Pack	NULL	CFEEF30F-F059-4447-92A8-47001E69F3DB	2003-06-01 00:00:00.000
108	Taillight	NULL	DBA643D4-4CF2-4507-B947-E817D8C5792B	2002-06-01 00:00:00.000
109	Headlights - Dual-Beam	NULL	7B17EBF1-CB73-4934-9689-1DC26CF22D9C	2002-06-01 00:00:00.000
110	Headlights - Weatherproof	NULL	1FADB88F-AF88-4E94-BB1E-6158C48E6B40	2002-06-01 00:00:00.000
111	Water Bottle	NULL	3688268A-260C-48BF-BF71-FFF350D4D3D5	2003-06-01 00:00:00.000
112	Mountain Bottle Cage	NULL	2194E65B-9C13-46E1-A655-3EBFF8A96719	2003-06-01 00:00:00.000
113	Road Bottle Cage	NULL	9416C2DD-55D8-469D-8EDF-EF447C511897	2003-06-01 00:00:00.000
114	Patch kit	NULL	7C738101-C01E-45A2-A0E0-B28AEBA1DC40	2003-06-01 00:00:00.000
115	Cable Lock	NULL	E7E17F11-A7FD-4C3C-B701-68F0AE26143E	2002-06-01 00:00:00.000
116	Minipump	NULL	90CEF1A7-D817-403E-814C-40E305EEEFEF	2002-06-01 00:00:00.000
117	Mountain Pump	NULL	B35598F6-B413-4138-8081-5DC7D4C64B64	2002-06-01 00:00:00.000
118	Hitch Rack - 4-Bike	NULL	F570E0D1-E978-4FF2-B5B1-08F01AB60219	2003-06-01 00:00:00.000
119	Bike Wash	NULL	90B1B93D-EBC8-44A2-AC08-CDD1D20CA39C	2003-06-01 00:00:00.000
120	Touring-Panniers	NULL	F06999A1-3AA7-4E85-B8CB-049EB2C391FA	2002-06-01 00:00:00.000
121	Fender Set - Mountain	NULL	C88D1136-A8BB-46BB-94AA-8C1854F813CC	2003-06-01 00:00:00.000
122	All-Purpose Bike Stand	NULL	6EAB8607-D927-40E1-AF30-D8A2A953050C	2003-06-01 00:00:00.000
123	LL Mountain Rear Wheel	NULL	29521F66-2926-471F-867B-668B0B9EC2B0	2002-06-01 00:00:00.000
124	ML Mountain Rear Wheel	NULL	D968D774-778E-4399-A3C5-375176418229	2002-06-01 00:00:00.000
125	HL Mountain Rear Wheel	NULL	95450545-ADF7-48F3-899E-964DE8920DC6	2002-06-01 00:00:00.000
126	LL Road Rear Wheel	NULL	95946BD4-C6D9-4344-8066-317D8957EA21	2002-06-01 00:00:00.000
127	Rear Derailleur	NULL	F9327E5D-F8B6-40C5-BFA9-63F886BDFC24	2003-06-01 00:00:00.000
128	Rear Brakes	NULL	71D47AFD-DA3A-43F1-83AD-69C71F96EF33	2003-06-01 00:00:00.000

(128 row(s) affected)

